GT1,GT2,GT3,GT4,GT5
2.754976041615009308e-02,-6.868757009506225586e-01,7.594546794891357422e+00,-6.279116868972778320e-02,-3.592095077037811279e-01
-4.320234060287475586e-01,7.349649667739868164e-01,5.999558448791503906e+00,-2.423864901065826416e-01,-5.006241798400878906e-01
5.447546243667602539e-01,1.898077726364135742e+00,7.039649009704589844e+00,3.176945447921752930e-01,2.120640873908996582e-01
-8.611388802528381348e-01,5.437830686569213867e-01,6.964366912841796875e+00,-6.652385592460632324e-01,-9.127613902091979980e-01
-2.569035291671752930e-01,-2.638770937919616699e-01,5.695198059082031250e+00,-9.336619973182678223e-01,-8.756315112113952637e-01
-6.286610364913940430e-01,-8.839393258094787598e-01,7.406079292297363281e+00,-1.014167070388793945e+00,-8.551108241081237793e-01
3.904486596584320068e-01,-8.819895982742309570e-01,6.592666149139404297e+00,-3.313657827675342560e-03,4.206884279847145081e-02
1.940261572599411011e-02,-8.103324770927429199e-01,7.648392200469970703e+00,-1.825313270092010498e-02,-1.449829936027526855e-01
-2.182287275791168213e-01,1.641746640205383301e+00,7.017230510711669922e+00,-1.713113635778427124e-01,-2.490810006856918335e-01
-4.674672782421112061e-01,1.117916345596313477e+00,5.064084529876708984e+00,-9.226245880126953125e-01,-8.745540976524353027e-01
4.039345085620880127e-01,1.201991796493530273e+00,6.888996601104736328e+00,5.046710968017578125e-01,3.955419063568115234e-01
-8.544390201568603516e-01,1.675389885902404785e+00,5.667493343353271484e+00,-1.157449364662170410e+00,-1.087450265884399414e+00
4.686027467250823975e-01,-4.096014797687530518e-02,7.930010318756103516e+00,2.699865102767944336e-01,4.282348453998565674e-01
2.830109000205993652e-01,-3.641277551651000977e-01,5.208278656005859375e+00,-8.824406564235687256e-02,1.712087094783782959e-01
-7.901140451431274414e-01,-9.937395453453063965e-01,5.610599040985107422e+00,-8.527626395225524902e-01,-1.059175848960876465e+00
3.981985747814178467e-01,1.451220154762268066e+00,5.381239414215087891e+00,3.697851598262786865e-01,2.799581885337829590e-01
-1.175046805292367935e-02,1.098553180694580078e+00,5.559694766998291016e+00,-5.446385964751243591e-02,-3.194398283958435059e-01
-9.770315885543823242e-02,-1.291481256484985352e-01,7.316730022430419922e+00,-2.074328660964965820e-01,-4.655826985836029053e-01
